log,target,learner,quality,level,rung,metric,V,without_f,with_f,se,lo,hi,n_draws,mean,resolved
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.125,-0.00014304105278217794,0.34628195434946973,0.34613891329668756,0.0009323511601489459,-0.0016654065431064304,0.0019537875227333555,200,0.00016991233626907965,False
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.150,0.002499011333899903,0.3273620705613099,0.3298610818952098,0.0011562420135422346,-0.0007169932770705003,0.004032285207030941,200,0.0018617003374085997,False
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.175,0.00668825286190472,0.3070116123327395,0.3136998651946442,0.001949142660624945,0.0012811385200886345,0.008136976979059667,200,0.004885978942623197,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.200,0.013892862251466187,0.2862609068802746,0.3001537691317408,0.0028598540173449508,0.0065061328851379885,0.01705988056072097,200,0.011680017164926332,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.225,0.021158540242985246,0.26378615824031815,0.2849446984833034,0.002299868691178433,0.015063837837588464,0.024422875494299192,200,0.02016927293617139,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.250,0.029514137224049997,0.23966528393648978,0.2691794211605398,0.002543651758871792,0.022575454155342598,0.03245601487626954,200,0.02766616602298193,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.275,0.03695144989370569,0.21429522686804214,0.25124667676174783,0.002725823535877051,0.030771768135385888,0.04116968121575028,200,0.03629788792486892,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.300,0.04652921102642174,0.18708747982099433,0.23361669084741607,0.0034885216520142794,0.03824994380530069,0.05140307946952207,200,0.045892218566728656,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.325,0.04895182695211303,0.16581636707512834,0.21476819402724137,0.0052390960943573895,0.040743853208092956,0.06126951583252538,200,0.04973926794767875,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.350,0.059439059009935846,0.1394980359363137,0.19893709494624956,0.004723848814639912,0.04904643882794363,0.06911413575696228,200,0.05865673448279656,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.375,0.0750965527106279,0.11155771706479761,0.1866542697754255,0.005290527383342758,0.06002002574738949,0.08017987412387352,200,0.0717596195107996,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.400,0.08730272254803795,0.08422733991322173,0.17153006246125968,0.0051841025909228535,0.07473775806989946,0.09511038001239691,200,0.08498962952367332,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.425,0.04114917937969939,0.10901283016051694,0.15016200954021633,0.022334202924885194,0.03303680819438656,0.10303954463191804,200,0.052809808262797506,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.450,0.04007100037710823,0.09639016397706143,0.13646116435416966,0.005857344278414586,0.027712253416730566,0.04937728378044503,200,0.037479096500695704,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.475,0.03684669404881108,0.08278330642799248,0.11963000047680356,0.007355008686387896,0.021539087670542398,0.04963064756728042,200,0.0348106238633345,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.500,0.03976541267343728,0.07209269060220283,0.11185810327564011,0.008350182734222422,0.02109319124588753,0.051162208553854976,200,0.03604062365899013,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.525,0.041903499988707266,0.05632429665208649,0.09822779664079376,0.009155863559243574,0.01531216827650589,0.05170661150802913,200,0.036855393024113704,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.550,0.02103498148413041,0.06021233649612989,0.0812473179802603,0.010414574234233729,0.007565083679015864,0.0469975285684769,200,0.022579030181662126,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.575,0.02657197909917794,0.04438059017055543,0.07095256926973337,0.009277163130344436,0.003519651316398399,0.04245353269329469,200,0.019978207274899667,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.600,0.019560863967958836,0.01795165212415964,0.037512516092118475,0.01100016800581576,0.006786403947933068,0.048252217136318096,200,0.02498283507366615,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.625,0.05471320268917179,0.0033376245649167913,0.05805082725408858,0.013015303916226151,0.018250846326228948,0.06554021837600725,200,0.04183211748438469,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.650,0.049073298322332794,0.002370394588961315,0.05144369291129411,0.009786662392233003,0.018833653472832407,0.061744692155220014,200,0.04258035842000939,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.675,0.0426702463607055,0.0020355842126690282,0.04470583057337453,0.007830557510935669,0.0233295830903469,0.05413457412277322,200,0.03914136857278037,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.700,0.02882277213560294,0.009488389834549183,0.03831116197015212,0.009498287318209356,0.012819458351213465,0.04788776045391696,200,0.03070757640776237,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.725,0.030656298357628658,0.006787948141116499,0.03744424649874516,0.007226645700908465,0.007248605349735401,0.03463657819794281,200,0.020950962926359867,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.750,0.028822772135602918,0.0036475468459447845,0.0324703189815477,0.007382436247830543,0.0015144471463310026,0.030415891860964113,200,0.016334573022457447,True
BPIC14,duration,logit,clean,1.0,B_intake_g,nb_0.775,0.01892909931817096,-0.0005085904098920888,0.01842050890827887,0.007199001316321149,-0.00283042483192677,0.024277444015321278,200,0.010900125558257433,False
