log,target,learner,quality,level,rung,family,n_family,metric,V,se,q_maxt,sim_lo,sim_hi,sim_resolved
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.625,0.020025747389500692,0.005437004399344953,3.954341975808485,-0.0014740273294844564,0.04152552210848584,False
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.650,0.02292743731736724,0.0046357956823525415,3.954341975808485,0.004595915859368846,0.04125895877536563,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.675,0.025604348448004632,0.004951165191794552,3.954341975808485,0.006025748100929568,0.0451829487950797,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.700,0.024769942306775317,0.005313294450519811,3.954341975808485,0.003759359031254548,0.04578052558229609,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.725,0.02698924591357721,0.005431353906747755,3.954341975808485,0.005511815174653156,0.04846667665250126,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.750,0.029609497925904837,0.005414638196935541,3.954341975808485,0.008198166819946659,0.051020829031863016,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.775,0.033773581906896166,0.005854746989462499,3.954341975808485,0.01062191012872625,0.05692525368506608,True
BPIC14,handover,hgb,stale,1.0,B_intake_g,decision-curve,31,nb_0.800,0.04441424688885709,0.006938922915913695,3.954341975808485,0.016975372735560157,0.07185312104215402,True
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,scalars,5,ap,0.005971312615324242,0.001179040938945381,2.440437332486676,0.003093937091391791,0.008848688139256693,True
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,scalars,5,auc,0.02867607662837668,0.006138858432362948,2.440437332486676,0.013694577331187507,0.04365757592556585,True
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,scalars,5,brier_skill,0.005621023567247363,0.014785144641461327,2.440437332486676,-0.030461195381990193,0.04170324251648492,False
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,scalars,5,logloss_skill,0.016804851766524243,0.012674111368347916,2.440437332486676,-0.014125522772885805,0.04773522630593429,False
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,scalars,5,nagelkerke,0.0171875965743864,0.01316401445299902,2.440437332486676,-0.014938355742106578,0.049313548890879376,False
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,decision-curve,31,nb_0.050,0.0,0.00014602685120813837,4.406789059995405,-0.000643509530369601,0.000643509530369601,False
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,decision-curve,31,nb_0.075,0.0,0.0002764197704627049,4.406789059995405,-0.001218123620441489,0.001218123620441489,False
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,decision-curve,31,nb_0.100,0.0,0.00043949940856290615,4.406789059995405,-0.0019367811855294655,0.0019367811855294655,False
BPIC14,handover,hgb,stale,1.0,B_intake_g_km,decision-curve,31,nb_0.125,2.0434436111660403e-05,0.0005191301074613942,4.406789059995405,-0.0022672624421634503,0.002308131314386771,False
