family,regime,K_nom,B,candidate,n,coverage,K,coverage_se,coverage_pointwise,coverage_percell_basic,mean_width,q_median,q_oracle,shortfall_factor,mean_false_cells,mean_resolved_cells,truth_scale,kurt_med,kurt_p90,share_q_emp_at_ceiling
whole-surface,heavy,180,33,q_mult_hi,3,0.6666666666666666,180.0,0.2721655269759087,0.9407407407407407,0.825925925925926,6.850576322948108,3.5005876554640785,8.72759973579581,2.481077384102235,10.666666666666666,10.666666666666666,0.0,0.006320595237817361,3.4272275660309206,0.0
whole-surface,heavy,180,33,q_emp,3,0.6666666666666666,180.0,0.2721655269759087,0.9388888888888888,0.825925925925926,7.388583539209395,3.3968993677852994,8.72759973579581,2.564177311753616,11.0,11.0,0.0,0.006320595237817361,3.4272275660309206,0.0
whole-surface,heavy,180,33,q_emp_hi,3,0.6666666666666666,180.0,0.2721655269759087,0.9796296296296297,0.825925925925926,9.50072485212643,4.925032324274566,8.72759973579581,1.7521776275638337,3.6666666666666665,3.6666666666666665,0.0,0.006320595237817361,3.4272275660309206,0.0
whole-surface,heavy,180,33,q_rad,3,0.6666666666666666,180.0,0.2721655269759087,0.9351851851851851,0.825925925925926,6.345575143088186,3.2597316131073866,8.72759973579581,2.670388273466137,11.666666666666666,11.666666666666666,0.0,0.006320595237817361,3.4272275660309206,0.0
whole-surface,heavy,180,80,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9203703703703704,7.277689306632756,3.5539435260981276,3.097725980960717,0.8717608514631805,0.0,0.0,0.0,0.7341222738262787,9.139768945373222,0.0
whole-surface,heavy,180,80,q_mult_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9203703703703704,7.313778288133513,3.5756808035515135,3.097725980960717,0.8664861650236144,0.0,0.0,0.0,0.7341222738262787,9.139768945373222,0.0
whole-surface,heavy,180,80,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9203703703703704,10.32753838702579,5.24868797704637,3.097725980960717,0.7051915463481223,0.0,0.0,0.0,0.7341222738262787,9.139768945373222,0.0
whole-surface,heavy,180,80,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9203703703703704,14.188772509402675,6.746231161662583,3.097725980960717,0.4593442431640602,0.0,0.0,0.0,0.7341222738262787,9.139768945373222,0.0
whole-surface,heavy,180,80,q_rad,3,1.0,180.0,5.773502691896258e-07,1.0,0.9203703703703704,6.972718679933446,3.3978035936272795,3.097725980960717,0.911437888557389,0.0,0.0,0.0,0.7341222738262787,9.139768945373222,0.0
whole-surface,heavy,180,150,q_mult,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9574074074074074,7.249289567932763,3.5740221031463304,3.7783847979488927,1.057235172408046,0.3333333333333333,0.3333333333333333,0.0,0.8045869593580903,8.557908540961023,0.0
whole-surface,heavy,180,150,q_mult_hi,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9574074074074074,7.290068815046532,3.5941734893490564,3.7783847979488927,1.0512935403331258,0.3333333333333333,0.3333333333333333,0.0,0.8045869593580903,8.557908540961023,0.0
whole-surface,heavy,180,150,q_emp,3,1.0,180.0,5.773502691896258e-07,1.0,0.9574074074074074,10.780906465235404,5.772316829014455,3.7783847979488927,0.7216190241011251,0.0,0.0,0.0,0.8045869593580903,8.557908540961023,0.0
whole-surface,heavy,180,150,q_emp_hi,3,1.0,180.0,5.773502691896258e-07,1.0,0.9574074074074074,14.402314298390417,7.224295233809466,3.7783847979488927,0.5222217839984798,0.0,0.0,0.0,0.8045869593580903,8.557908540961023,0.0
whole-surface,heavy,180,150,q_rad,3,0.6666666666666666,180.0,0.2721655269759087,0.9981481481481481,0.9574074074074074,7.046769353364245,3.4782960005044496,3.7783847979488927,1.0861496803962885,0.3333333333333333,0.3333333333333333,0.0,0.8045869593580903,8.557908540961023,0.0
whole-surface,heavy,180,400,q_mult,3,1.0,180.0,5.773502691896258e-07,1.0,0.9648148148148148,7.066318212910969,3.5862632086002453,3.0029721176046333,0.8372995183058126,0.0,0.0,0.0,0.5939687655801893,13.179963646151041,0.0
